*********************************************************************************************
Basic information of the design:
87 data_rdata_i[21] INPUT 36780 79496
88 data_rdata_i[22] INPUT 37260 79496
89 data_rdata_i[23] INPUT 36492 79496
90 data_rdata_i[24] INPUT 37452 79496
91 data_rdata_i[25] INPUT 36300 79496
92 data_rdata_i[26] INPUT 38028 79496
93 data_rdata_i[27] INPUT 38124 79496
94 data_rdata_i[28] INPUT 79496 48588
95 data_rdata_i[29] INPUT 38412 79496
96 data_rdata_i[2] INPUT 39468 79496
97 data_rdata_i[30] INPUT 79496 49260
98 data_rdata_i[31] INPUT 40236 79496
99 data_rdata_i[3] INPUT 38796 79496
100 data_rdata_i[4] INPUT 79496 47820
101 data_rdata_i[5] INPUT 79496 45228
102 data_rdata_i[6] INPUT 79496 46764
103 data_rdata_i[7] INPUT 39372 79496
104 data_rdata_i[8] INPUT 36972 79496
105 data_rdata_i[9] INPUT 40332 79496
106 data_req_o OUTPUT 42 36876
107 data_rvalid_i INPUT 42 36780
108 data_wdata_o[0] OUTPUT 37644 79496
109 data_wdata_o[10] OUTPUT 42156 79496
110 data_wdata_o[11] OUTPUT 42252 79496
111 data_wdata_o[12] OUTPUT 38700 79496
112 data_wdata_o[13] OUTPUT 39276 79496
113 data_wdata_o[14] OUTPUT 38892 79496
114 data_wdata_o[15] OUTPUT 39084 79496
115 data_wdata_o[16] OUTPUT 38508 79496
116 data_wdata_o[17] OUTPUT 38604 79496
117 data_wdata_o[18] OUTPUT 40524 79496
118 data_wdata_o[19] OUTPUT 41100 79496
119 data_wdata_o[1] OUTPUT 37836 79496
120 data_wdata_o[20] OUTPUT 39852 79496
121 data_wdata_o[21] OUTPUT 40812 79496
122 data_wdata_o[22] OUTPUT 40140 79496
123 data_wdata_o[23] OUTPUT 38220 79496
124 data_wdata_o[24] OUTPUT 37740 79496
125 data_wdata_o[25] OUTPUT 38316 79496
126 data_wdata_o[26] OUTPUT 40716 79496
127 data_wdata_o[27] OUTPUT 41004 79496
128 data_wdata_o[28] OUTPUT 37932 79496
129 data_wdata_o[29] OUTPUT 38988 79496
130 data_wdata_o[2] OUTPUT 39756 79496
131 data_wdata_o[30] OUTPUT 41388 79496
132 data_wdata_o[31] OUTPUT 40044 79496
133 data_wdata_o[3] OUTPUT 40908 79496
134 data_wdata_o[4] OUTPUT 37548 79496
135 data_wdata_o[5] OUTPUT 41196 79496
136 data_wdata_o[6] OUTPUT 41292 79496
137 data_wdata_o[7] OUTPUT 39180 79496
138 data_wdata_o[8] OUTPUT 42060 79496
139 data_wdata_o[9] OUTPUT 42348 79496
140 data_we_o OUTPUT 42 36300
141 debug_req_i INPUT 44652 42
142 fetch_enable_i INPUT 40908 42
143 hart_id_i[0] INPUT 79496 30444
144 hart_id_i[10] INPUT 79496 28620
145 hart_id_i[11] INPUT 79496 30636
146 hart_id_i[12] INPUT 79496 28908
147 hart_id_i[13] INPUT 79496 29196
148 hart_id_i[14] INPUT 79496 25260
149 hart_id_i[15] INPUT 79496 29484
150 hart_id_i[16] INPUT 79496 22380
151 hart_id_i[17] INPUT 79496 24108
152 hart_id_i[18] INPUT 79496 27852
153 hart_id_i[19] INPUT 79496 27660
154 hart_id_i[1] INPUT 79496 24972
155 hart_id_i[20] INPUT 79496 21612
156 hart_id_i[21] INPUT 79496 22572
157 hart_id_i[22] INPUT 68460 42
158 hart_id_i[23] INPUT 68364 42
159 hart_id_i[24] INPUT 66444 42
160 hart_id_i[25] INPUT 79496 21996
161 hart_id_i[26] INPUT 79496 18540
162 hart_id_i[27] INPUT 79496 21708
163 hart_id_i[28] INPUT 65484 42
164 hart_id_i[29] INPUT 68556 42
165 hart_id_i[2] INPUT 79496 26412
166 hart_id_i[30] INPUT 79496 22284
167 hart_id_i[31] INPUT 79496 23724
168 hart_id_i[3] INPUT 79496 24300
169 hart_id_i[4] INPUT 79496 27276
170 hart_id_i[5] INPUT 79496 24876
171 hart_id_i[6] INPUT 79496 27372
172 hart_id_i[7] INPUT 79496 24204
173 hart_id_i[8] INPUT 65964 42
174 hart_id_i[9] INPUT 79496 25356
175 instr_addr_o[0] OUTPUT 22956 42
176 instr_addr_o[10] OUTPUT 49068 42
177 instr_addr_o[11] OUTPUT 50124 42
178 instr_addr_o[12] OUTPUT 50220 42
179 instr_addr_o[13] OUTPUT 51564 42
180 instr_addr_o[14] OUTPUT 51660 42
181 instr_addr_o[15] OUTPUT 52332 42
182 instr_addr_o[16] OUTPUT 53292 42
183 instr_addr_o[17] OUTPUT 52620 42
184 instr_addr_o[18] OUTPUT 54156 42
185 instr_addr_o[19] OUTPUT 54348 42
186 instr_addr_o[1] OUTPUT 22860 42
187 instr_addr_o[20] OUTPUT 54444 42
188 instr_addr_o[21] OUTPUT 52812 42
189 instr_addr_o[22] OUTPUT 53484 42
190 instr_addr_o[23] OUTPUT 53100 42
191 instr_addr_o[24] OUTPUT 48300 42
192 instr_addr_o[25] OUTPUT 46860 42
193 instr_addr_o[26] OUTPUT 47340 42
194 instr_addr_o[27] OUTPUT 46188 42
195 instr_addr_o[28] OUTPUT 47724 42
196 instr_addr_o[29] OUTPUT 45612 42
197 instr_addr_o[2] OUTPUT 44748 42
198 instr_addr_o[30] OUTPUT 46284 42
199 instr_addr_o[31] OUTPUT 44556 42
200 instr_addr_o[3] OUTPUT 46956 42
201 instr_addr_o[4] OUTPUT 50028 42
202 instr_addr_o[5] OUTPUT 48876 42
203 instr_addr_o[6] OUTPUT 49260 42
204 instr_addr_o[7] OUTPUT 49932 42
205 instr_addr_o[8] OUTPUT 51180 42
206 instr_addr_o[9] OUTPUT 50892 42
207 instr_err_i INPUT 40044 42
208 instr_gnt_i INPUT 42636 42
209 instr_rdata_i[0] INPUT 39372 42
210 instr_rdata_i[10] INPUT 33132 42
211 instr_rdata_i[11] INPUT 32076 42
212 instr_rdata_i[12] INPUT 32172 42
213 instr_rdata_i[13] INPUT 35820 42
214 instr_rdata_i[14] INPUT 34284 42
215 instr_rdata_i[15] INPUT 35244 42
216 instr_rdata_i[16] INPUT 30060 42
217 instr_rdata_i[17] INPUT 30252 42
218 instr_rdata_i[18] INPUT 29292 42
219 instr_rdata_i[19] INPUT 27564 42
220 instr_rdata_i[1] INPUT 36396 42
221 instr_rdata_i[20] INPUT 27660 42
222 instr_rdata_i[21] INPUT 27756 42
223 instr_rdata_i[22] INPUT 27852 42
224 instr_rdata_i[23] INPUT 27948 42
225 instr_rdata_i[24] INPUT 27468 42
226 instr_rdata_i[25] INPUT 28044 42
227 instr_rdata_i[26] INPUT 28140 42
228 instr_rdata_i[27] INPUT 28236 42
229 instr_rdata_i[28] INPUT 28332 42
230 instr_rdata_i[29] INPUT 36300 42
231 instr_rdata_i[2] INPUT 36588 42
232 instr_rdata_i[30] INPUT 33900 42
233 instr_rdata_i[31] INPUT 35148 42
234 instr_rdata_i[3] INPUT 36684 42
235 instr_rdata_i[4] INPUT 36492 42
236 instr_rdata_i[5] INPUT 33036 42
237 instr_rdata_i[6] INPUT 33612 42
238 instr_rdata_i[7] INPUT 34380 42
239 instr_rdata_i[8] INPUT 34956 42
240 instr_rdata_i[9] INPUT 33228 42
241 instr_req_o OUTPUT 43500 42
242 instr_rvalid_i INPUT 42060 42
243 irq_external_i INPUT 79496 24588
244 irq_fast_i[0] INPUT 79496 22476
245 irq_fast_i[10] INPUT 67596 42
246 irq_fast_i[11] INPUT 79496 20652
247 irq_fast_i[12] INPUT 68268 42
248 irq_fast_i[13] INPUT 79496 20556
249 irq_fast_i[14] INPUT 79496 22188
250 irq_fast_i[1] INPUT 79496 21804
251 irq_fast_i[2] INPUT 79496 21516
252 irq_fast_i[3] INPUT 79496 22092
253 irq_fast_i[4] INPUT 79496 21132
254 irq_fast_i[5] INPUT 79496 21228
255 irq_fast_i[6] INPUT 66636 42
256 irq_fast_i[7] INPUT 66540 42
257 irq_fast_i[8] INPUT 67116 42
258 irq_fast_i[9] INPUT 67020 42
259 irq_nm_i INPUT 79496 21900
260 irq_software_i INPUT 79496 24684
261 irq_timer_i INPUT 79496 22668
262 rst_ni INPUT 79496 7308
263 test_en_i INPUT 41484 42
*********************************************************************************************
Instance information (Each line represents one instance: vertex_id, instance_name, cell_name, isMacro, isSeq, isFixed, x_center, y_center, width, height):
264 _18912_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
265 _18913_ AND4x1_ASAP7_75t_R False False False -1 -1 378 270 
266 _18914_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
267 _18915_ AND5x1_ASAP7_75t_R False False False -1 -1 432 270 
268 _18916_ AO221x1_ASAP7_75t_R False False False -1 -1 540 270 
269 _18917_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
270 _18918_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
271 _18919_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
272 _18920_ AND3x1_ASAP7_75t_R False False False -1 -1 324 270 
273 _18921_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
274 _18922_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
275 _18923_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
276 _18924_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
277 _18925_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
278 _18926_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
279 _18927_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
280 _18928_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
281 _18929_ OAI22x1_ASAP7_75t_R False False False -1 -1 540 270 
282 _18930_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
283 _18931_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
284 _18932_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
285 _18933_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
286 _18934_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
287 _18935_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
288 _18936_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
289 _18937_ OA21x2_ASAP7_75t_R False False False -1 -1 378 270 
290 _18938_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
291 _18939_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
292 _18940_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
293 _18941_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
294 _18942_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
295 _18943_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
296 _18944_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
297 _18945_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
298 _18946_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
299 _18947_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
300 _18948_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
301 _18949_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
302 _18950_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
303 _18951_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
304 _18952_ AND3x1_ASAP7_75t_R False False False -1 -1 324 270 
305 _18953_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
306 _18954_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
307 _18955_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
308 _18956_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
309 _18957_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
310 _18958_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
311 _18959_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
312 _18960_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
313 _18961_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
314 _18962_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
315 _18963_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
316 _18964_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
317 _18965_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
318 _18966_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
319 _18967_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
320 _18968_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
321 _18969_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
322 _18970_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
323 _18971_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
324 _18972_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
325 _18973_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
326 _18974_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
327 _18975_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
328 _18976_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
329 _18977_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
330 _18978_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
331 _18979_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
332 _18980_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
333 _18981_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
334 _18982_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
335 _18983_ NOR2x1_ASAP7_75t_R False False False -1 -1 324 270 
336 _18984_ AO33x2_ASAP7_75t_R False False False -1 -1 540 270 
337 _18985_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
338 _18986_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
339 _18987_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
340 _18988_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
341 _18989_ AND3x1_ASAP7_75t_R False False False -1 -1 324 270 
342 _18990_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
343 _18991_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
344 _18992_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
345 _18993_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
346 _18994_ NOR2x1_ASAP7_75t_R False False False -1 -1 324 270 
347 _18995_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
348 _18996_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
349 _18997_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
350 _18998_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
351 _18999_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
352 _19000_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
353 _19001_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
354 _19002_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
355 _19003_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
356 _19004_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
357 _19005_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
358 _19006_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
359 _19007_ OA21x2_ASAP7_75t_R False False False -1 -1 378 270 
360 _19008_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
361 _19009_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
362 _19010_ OAI22x1_ASAP7_75t_R False False False -1 -1 540 270 
363 _19011_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
364 _19012_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
365 _19013_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
366 _19014_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
367 _19015_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
368 _19016_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
369 _19017_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
370 _19018_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
371 _19019_ AOI211x1_ASAP7_75t_R False False False -1 -1 648 270 
372 _19020_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
373 _19021_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
374 _19022_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
375 _19023_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
376 _19024_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
377 _19025_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
378 _19026_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
379 _19027_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
380 _19028_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
381 _19029_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
382 _19030_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
383 _19031_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
384 _19032_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
385 _19033_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
386 _19034_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
387 _19035_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
388 _19036_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
389 _19037_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
390 _19038_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
391 _19039_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
392 _19040_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
393 _19041_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
394 _19042_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
395 _19043_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
396 _19044_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
397 _19045_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
398 _19046_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
399 _19047_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
400 _19048_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
401 _19049_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
402 _19050_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
403 _19051_ AOI21x1_ASAP7_75t_R False False False -1 -1 432 270 
404 _19052_ NOR2x1_ASAP7_75t_R False False False -1 -1 324 270 
405 _19053_ OAI22x1_ASAP7_75t_R False False False -1 -1 540 270 
406 _19054_ NOR2x1_ASAP7_75t_R False False False -1 -1 324 270 
407 _19055_ AOI22x1_ASAP7_75t_R False False False -1 -1 540 270 
408 _19056_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
409 _19057_ OA21x2_ASAP7_75t_R False False False -1 -1 378 270 
410 _19058_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
411 _19059_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
412 _19060_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
413 _19061_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
414 _19062_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
415 _19063_ OR2x2_ASAP7_75t_R False False False -1 -1 324 270 
416 _19064_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
417 _19065_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
418 _19066_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
419 _19067_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
420 _19068_ AND3x1_ASAP7_75t_R False False False -1 -1 324 270 
421 _19069_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
422 _19070_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
423 _19071_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
424 _19072_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
425 _19073_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
426 _19074_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
427 _19075_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
428 _19076_ AND2x2_ASAP7_75t_R False False False -1 -1 324 270 
429 _19077_ AO21x1_ASAP7_75t_R False False False -1 -1 324 270 
430 _19078_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
431 _19079_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
432 _19080_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
433 _19081_ OAI22x1_ASAP7_75t_R False False False -1 -1 540 270 
434 _19082_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
435 _19083_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
436 _19084_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
437 _19085_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
438 _19086_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
439 _19087_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
440 _19088_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
441 _19089_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
442 _19090_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
443 _19091_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
444 _19092_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
445 _19093_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
446 _19094_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
447 _19095_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
448 _19096_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
449 _19097_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
450 _19098_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
451 _19099_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
452 _19100_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
453 _19101_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
454 _19102_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
455 _19103_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
456 _19104_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
457 _19105_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
458 _19106_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
459 _19107_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
460 _19108_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
461 _19109_ OR3x1_ASAP7_75t_R False False False -1 -1 324 270 
462 _19110_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
463 _19111_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
464 _19112_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
465 _19113_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
466 _19114_ INVx1_ASAP7_75t_R False False False -1 -1 162 270 
467 _19115_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
468 _19116_ NAND2x1_ASAP7_75t_R False False False -1 -1 324 270 
469 _19117_ BUFx2_ASAP7_75t_R False False False -1 -1 270 270 
470 _19118_ OA211x2_ASAP7_75t_R False False False -1 -1 432 270 
